Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,sim.device,sim.pins,ust_id
1,"Unpolarized capacitor, small symbol",C_Small,C5C6,100n,C_0805_2012Metric,2,~,,,
2,"Unpolarized capacitor, small symbol",C_Small,C1C2,1u,C_0805_2012Metric,2,~,,,
3,"Unpolarized capacitor, small symbol",C_Small,C4,4u7,C_0805_2012Metric,1,~,,,
4,"Unpolarized capacitor, small symbol",C_Small,C3C7C8,10u,C_0805_2012Metric,3,~,,,
5,"Diode, small symbol",D_Small,D1,1N4148,D_0805_2012Metric,1,~,D,1=K 2=A,
6,Zener diode,D_Zener,D2,"BZT52H-C3V6,115",D_SOD-123F,1,~,,,650b35ab462c6d9e720543d0
7,OLED display 128x64,OLED-128O064D,DS1,OLED-128O064D,OLED-128O064D,1,https://www.vishay.com/docs/37902/oled128o064dbpp3n00000.pdf,,,
8,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J2,HEADER_2x05_PARALLEL,PinHeader_2x05_P2.54mm_Vertical,1,,,,
9,"Resistor, small symbol",R_Small,R4,100R,R_0805_2012Metric,1,~,,,
10,"Resistor, small symbol",R_Small,R2R3R5R6,4k7,R_0805_2012Metric,4,~,,,
11,"Resistor, small symbol",R_Small,R1,560k,R_0805_2012Metric,1,~,,,
